Pasta;Nome do arquivo;Extensão;Caminho completo (a partir de assets/);Tamanho;Dimensões
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-01.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-01.webp;264236;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-02.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-02.webp;197894;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-03.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-03.webp;317014;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-04.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-04.webp;349176;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-05.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-05.webp;214116;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-06.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-06.webp;296954;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-07.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-07.webp;117180;1024x572
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-08.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-08.webp;373828;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-09.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-09.webp;478894;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-10.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-10.webp;205348;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-11.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-11.webp;394612;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-12.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-12.webp;320782;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-13.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-13.webp;287680;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-14.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-14.webp;504590;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-15.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-15.webp;218314;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-16.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-16.webp;412938;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-17.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-17.webp;365182;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-18.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-18.webp;229066;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-19.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-19.webp;242440;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-20.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-20.webp;247244;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-21.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-21.webp;359424;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-22.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-22.webp;346122;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-23.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-23.webp;243300;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-24.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-24.webp;236812;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-25.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-25.webp;201064;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-26.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-26.webp;96366;1024x576
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-27.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-27.webp;272288;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-28.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-28.webp;268440;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-29.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-29.webp;353162;1672x941
books/ciclo-de-jesed/guerras-de-sangue/chapters;chapter-30.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/chapters/chapter-30.webp;330594;1672x941
books/ciclo-de-jesed/guerras-de-sangue/characters;alyra.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/alyra.webp;122308;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;avara-fendelar.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/avara-fendelar.webp;146174;900x1350
books/ciclo-de-jesed/guerras-de-sangue/characters;brokan-das-forjas.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/brokan-das-forjas.webp;147932;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;cal-edran.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/cal-edran.webp;140618;900x1200
books/ciclo-de-jesed/guerras-de-sangue/characters;cal-kadrir.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/cal-kadrir.webp;128276;900x1200
books/ciclo-de-jesed/guerras-de-sangue/characters;daryon-polar.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/daryon-polar.webp;101276;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;hadrun.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/hadrun.webp;123982;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;harrev.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/harrev.webp;162926;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;iressa-maos-de-sal.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/iressa-maos-de-sal.webp;180358;900x1200
books/ciclo-de-jesed/guerras-de-sangue/characters;kaelina.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/kaelina.webp;144322;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;kahul.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/kahul.webp;111766;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;kharvok.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/kharvok.webp;139252;900x1200
books/ciclo-de-jesed/guerras-de-sangue/characters;lorde-ossar-glydar.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/lorde-ossar-glydar.webp;125814;900x1200
books/ciclo-de-jesed/guerras-de-sangue/characters;lurok.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/lurok.webp;81344;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;lutharus.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/lutharus.webp;96394;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;maelis-das-contagens.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/maelis-das-contagens.webp;160466;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;markoso.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/markoso.webp;147402;900x1200
books/ciclo-de-jesed/guerras-de-sangue/characters;nalia-do-rio.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/nalia-do-rio.webp;115518;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;nara-e-ilo.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/nara-e-ilo.webp;160874;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;nynestra.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/nynestra.webp;202906;900x1200
books/ciclo-de-jesed/guerras-de-sangue/characters;odran-porta-baixa.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/odran-porta-baixa.webp;197084;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;odris.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/odris.webp;157264;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;orionus-polar-2.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/orionus-polar-2.webp;238984;900x1350
books/ciclo-de-jesed/guerras-de-sangue/characters;orionus-polar.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/orionus-polar.webp;122224;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;orven.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/orven.webp;170796;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;rendar.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/rendar.webp;149282;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;saela.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/saela.webp;126974;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;sarkan.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/sarkan.webp;130058;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;savel.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/savel.webp;115408;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;seron-das-obras.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/seron-das-obras.webp;167938;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;seyra-vendrar.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/seyra-vendrar.webp;215502;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;soren.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/soren.webp;77754;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;tavra-vendrar.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/tavra-vendrar.webp;207610;900x1200
books/ciclo-de-jesed/guerras-de-sangue/characters;thoren-dos-graos.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/thoren-dos-graos.webp;156826;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;torgun.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/torgun.webp;253472;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;varael-glydar.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/varael-glydar.webp;149252;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;varron-meio-olho.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/varron-meio-olho.webp;125310;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;veyr-polar.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/veyr-polar.webp;180244;900x1125
books/ciclo-de-jesed/guerras-de-sangue/characters;vita-fendelar.webp;.webp;books/ciclo-de-jesed/guerras-de-sangue/characters/vita-fendelar.webp;89886;900x1350
